id,info,flags,type,path,source,destination,tourist,trailing,wait
3647,Suv (VehicleInfo),Created- Spawned,Vehicle,108053,0,0,0,0,0,
3697,Sedan (VehicleInfo),Created- Spawned,Vehicle,2059,0,0,1,0,0,
3727,Camper Trailer 02 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
3743,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
3808,Hatchback (VehicleInfo),Created- Spawned,Vehicle,75277,0,0,0,0,0,
3858,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,92270,0,0,0,0,0,
3914,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
3931,Sports-car (VehicleInfo),Created- Spawned,Vehicle,129393,0,0,0,0,0,
3956,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,150975,0,0,3,0,0,
3976,Scooter (VehicleInfo),Created- Spawned,Vehicle,68359,0,0,1,0,0,
4016,Lorry (VehicleInfo),Created- Spawned- TransferToTarget- Exporting,Vehicle,116201,13795,24075,0,0,0,
4019,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,256099,0,0,1,0,0,
4022,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,240657,0,0,1,0,0,
4032,Camper Van 03 (VehicleInfo),Created- Spawned,Vehicle,255965,0,0,1,0,0,
4165,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,237349,0,0,0,0,0,
4194,Camper Trailer 02 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
4216,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,99567,0,0,2,0,0,
4229,Suv (VehicleInfo),Created- Spawned,Vehicle,191290,0,0,1,978,0,
4253,Sedan (VehicleInfo),Created- Spawned,Vehicle,176109,0,0,0,0,0,
4261,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,244516,0,0,3,0,0,
4268,Scooter (VehicleInfo),Created- Spawned- Stopped,Vehicle,20543,0,0,1,0,4,
4301,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,256993,0,0,1,0,0,
4343,Sports-car (VehicleInfo),Created- Spawned,Vehicle,66267,0,0,0,0,0,
4361,Sports-car (VehicleInfo),Created- Spawned,Vehicle,155899,0,0,1,0,0,
4365,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,143115,0,0,1,0,0,
4367,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,257928,0,0,2,0,0,
4377,Suv (VehicleInfo),Created- Spawned,Vehicle,112374,0,0,2,0,0,
4378,Hatchback (VehicleInfo),Created- Spawned,Vehicle,189143,0,0,0,0,0,
4444,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,97567,0,0,3,0,0,
4534,Donut Van (VehicleInfo),Created- Spawned- TransferToTarget- Importing,Vehicle,96437,30157,40441,0,0,0,
4552,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,184776,0,0,2,0,0,
4580,Van (VehicleInfo),Created- Spawned- TransferToTarget- Importing,Vehicle,108938,806,43098,0,0,0,
4582,Suv (VehicleInfo),Created- Spawned,Vehicle,47056,0,0,0,0,0,
4592,hotdog-van (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,71905,17233,1497,0,0,0,
4593,Hatchback (VehicleInfo),Created- Spawned,Vehicle,176586,0,0,1,0,0,
4594,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,207812,0,0,0,0,0,
4613,Suv (VehicleInfo),Created- Spawned,Vehicle,93133,0,0,1,0,0,
4622,Sports-car (VehicleInfo),Created- Spawned,Vehicle,188399,0,0,0,0,0,
4633,Suv (VehicleInfo),Created- Spawned,Vehicle,36754,0,0,1,7293,0,
4663,Sedan (VehicleInfo),Created- Spawned,Vehicle,43835,0,0,0,0,0,
4705,Suv (VehicleInfo),Created- Spawned,Vehicle,199075,0,0,0,0,0,
4743,Hatchback (VehicleInfo),Created- Spawned,Vehicle,8849,0,0,0,0,0,
4744,Sports-car (VehicleInfo),Created- Spawned- Arriving,Vehicle,60069,0,0,0,0,0,
4759,Bugspray Van (VehicleInfo),Created- Spawned- TransferToTarget- Importing,Vehicle,249475,8616,34678,0,0,0,
4767,Suv (VehicleInfo),Created- Spawned,Vehicle,30444,0,0,1,3743,0,
4773,Scooter (VehicleInfo),Created- Spawned,Vehicle,137372,0,0,2,0,0,
4809,Sedan (VehicleInfo),Created- Spawned,Vehicle,11869,0,0,0,0,0,
4828,Sedan (VehicleInfo),Created- Spawned,Vehicle,45204,0,0,0,0,0,
4898,Suv (VehicleInfo),Created- Spawned,Vehicle,107607,0,0,0,0,0,
4905,Scooter (VehicleInfo),Created- Spawned,Vehicle,123034,0,0,1,14501,0,
4971,Sports-car (VehicleInfo),Created- Spawned,Vehicle,159889,0,0,1,0,0,
4986,Hatchback (VehicleInfo),Created- Spawned,Vehicle,145597,0,0,1,7548,0,
5007,Hatchback (VehicleInfo),Created- Spawned,Vehicle,136337,0,0,1,0,0,
5011,Sedan (VehicleInfo),Created- Spawned,Vehicle,149840,0,0,2,0,0,
5012,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,15185,0,0,1,0,0,
5014,Van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Importing,Vehicle,119417,30157,0,0,0,0,
5030,Sports-car (VehicleInfo),Created- Spawned,Vehicle,191510,0,0,1,0,0,
5035,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,97452,0,0,1,0,0,
5037,Camper Van 03 (VehicleInfo),Created- Spawned,Vehicle,170554,0,0,1,0,0,
5045,Sedan (VehicleInfo),Created- Spawned,Vehicle,192933,0,0,1,0,0,
5049,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,124271,0,0,1,0,0,
5146,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
5191,Sedan (VehicleInfo),Created- Spawned,Vehicle,122694,0,0,1,0,0,
5286,Hatchback (VehicleInfo),Created- Spawned,Vehicle,141025,0,0,0,0,0,
5288,Scooter (VehicleInfo),Created- Spawned,Vehicle,140326,0,0,1,11888,0,
5326,Hatchback (VehicleInfo),Created- Spawned,Vehicle,34058,0,0,1,0,0,
5347,Scooter (VehicleInfo),Created- Spawned- Arriving,Vehicle,0,0,0,1,0,0,
5384,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,26078,0,0,0,0,0,
5392,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,185661,0,0,0,0,0,
5395,Sedan (VehicleInfo),Created- Spawned,Vehicle,138839,0,0,1,0,0,
5404,Hatchback (VehicleInfo),Created- Spawned,Vehicle,149934,0,0,1,0,0,
5410,Suv (VehicleInfo),Created- Spawned,Vehicle,92369,0,0,3,1164,0,
5449,Scooter (VehicleInfo),Created- Spawned,Vehicle,43835,0,0,0,0,0,
5456,Sedan (VehicleInfo),Created- Spawned,Vehicle,178747,0,0,2,0,0,
5504,Sedan (VehicleInfo),Created- Spawned,Vehicle,101810,0,0,0,0,0,
5514,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,131533,0,0,0,0,0,
5591,Sports-car (VehicleInfo),Created- Spawned,Vehicle,124620,0,0,1,0,0,
5619,Suv (VehicleInfo),Created- Spawned,Vehicle,244676,0,0,1,0,0,
5621,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,148387,0,0,2,0,0,
5629,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
5658,Bugspray Van (VehicleInfo),Created- Spawned- TransferToTarget- Exporting,Vehicle,217739,2243,24075,0,0,0,
5661,Scooter (VehicleInfo),Created- Spawned,Vehicle,67236,0,0,2,0,0,
5718,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,141274,0,0,1,0,0,
5723,Hatchback (VehicleInfo),Created- Spawned,Vehicle,129916,0,0,2,0,0,
5798,Camper Van 03 (VehicleInfo),Created- Spawned,Vehicle,223450,0,0,1,0,0,
5813,Electric Car 02 (VehicleInfo),Created- Spawned,Vehicle,45508,0,0,0,0,0,
5821,Electric Car 02 (VehicleInfo),Created- Spawned,Vehicle,148941,0,0,0,0,0,
5846,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,235220,0,0,1,0,0,
5972,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,28830,0,0,2,0,0,
5985,Hatchback (VehicleInfo),Created- Spawned,Vehicle,166675,0,0,0,0,0,
5990,Suv (VehicleInfo),Created- Spawned,Vehicle,92414,0,0,2,0,0,
6029,Suv (VehicleInfo),Created- Spawned,Vehicle,232838,0,0,0,0,0,
6136,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,17917,0,0,1,0,0,
6139,Scooter (VehicleInfo),Created- Spawned,Vehicle,183974,0,0,1,0,0,
6192,Hatchback (VehicleInfo),Created- Spawned,Vehicle,132680,0,0,1,0,0,
6194,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,205241,0,0,1,0,0,
6210,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
6241,Sports-car (VehicleInfo),Created- Spawned,Vehicle,109824,0,0,1,0,0,
6257,Hatchback (VehicleInfo),Created- Spawned,Vehicle,154720,0,0,1,1574,0,
6261,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,80304,0,0,1,0,0,
6269,Suv (VehicleInfo),Created- Spawned,Vehicle,153949,0,0,2,0,0,
6277,Hatchback (VehicleInfo),Created- Spawned,Vehicle,250722,0,0,1,0,0,
6311,Scooter (VehicleInfo),Created- Spawned,Vehicle,118075,0,0,2,4194,0,
6320,Van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Importing,Vehicle,65335,24075,0,0,0,0,
6347,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,152606,0,0,0,0,0,
6377,Sedan (VehicleInfo),Created- Spawned,Vehicle,65410,0,0,1,0,0,
6495,Sedan (VehicleInfo),Created- Spawned,Vehicle,81783,0,0,1,0,0,
6519,Sports-car (VehicleInfo),Created- Spawned,Vehicle,245732,0,0,1,0,0,
6525,Hatchback (VehicleInfo),Created- Spawned,Vehicle,180159,0,0,0,0,0,
6549,Electric Car 01 (VehicleInfo),Created- Spawned- Arriving,Vehicle,28216,0,0,2,0,0,
6576,Scooter (VehicleInfo),Created- Spawned,Vehicle,156646,0,0,1,0,0,
6601,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
6605,Suv (VehicleInfo),Created- Spawned,Vehicle,92798,0,0,1,6601,0,
6613,Sports-car (VehicleInfo),Created- Spawned,Vehicle,77391,0,0,1,0,0,
6648,Hatchback (VehicleInfo),Created- Spawned,Vehicle,61638,0,0,2,0,0,
6650,Scooter (VehicleInfo),Created- Spawned,Vehicle,161499,0,0,1,0,0,
6654,Scooter (VehicleInfo),Created- Spawned,Vehicle,13275,0,0,1,0,0,
6684,Hatchback (VehicleInfo),Created- Spawned,Vehicle,65668,0,0,0,0,0,
6744,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,154525,0,0,0,0,0,
6768,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,239928,0,0,0,0,0,
6809,Sports-car (VehicleInfo),Created- Spawned,Vehicle,226496,0,0,2,0,0,
6835,Sedan (VehicleInfo),Created- Spawned,Vehicle,64669,0,0,0,0,0,
6849,Scooter (VehicleInfo),Created- Spawned,Vehicle,125012,0,0,1,0,0,
6919,Hatchback (VehicleInfo),Created- Spawned,Vehicle,160196,0,0,0,0,0,
6935,Sedan (VehicleInfo),Created- Spawned,Vehicle,200066,0,0,0,0,0,
6994,Donut Van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Importing,Vehicle,146248,30157,0,0,0,0,
7010,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,155693,0,0,4,0,0,
7019,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,60348,0,0,2,0,0,
7049,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,191450,0,0,1,0,0,
7064,Suv (VehicleInfo),Created- Spawned,Vehicle,252825,0,0,1,0,0,
7069,Hatchback (VehicleInfo),Created- Spawned,Vehicle,51202,0,0,0,0,0,
7125,Sedan (VehicleInfo),Created- Spawned,Vehicle,153179,0,0,0,0,0,
7152,Train Engine (VehicleInfo),Created- Spawned- Inverted,Vehicle,249502,0,0,0,0,0,
7212,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,53267,0,0,2,0,0,
7241,Sports-car (VehicleInfo),Created- Spawned,Vehicle,238072,0,0,1,0,0,
7264,Sports-car (VehicleInfo),Created- Spawned,Vehicle,207127,0,0,2,0,0,
7268,Scooter (VehicleInfo),Created- Spawned,Vehicle,102474,0,0,1,0,0,
7293,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
7294,Scooter (VehicleInfo),Created- Spawned,Vehicle,203192,0,0,1,0,0,
7298,Scooter (VehicleInfo),Created- Spawned,Vehicle,60086,0,0,0,0,0,
7305,Suv (VehicleInfo),Created- Spawned,Vehicle,165215,0,0,1,0,0,
7409,Electric Car 01 (VehicleInfo),Created- Spawned,Vehicle,39822,0,0,1,0,0,
7424,Scooter (VehicleInfo),Created- Spawned,Vehicle,251370,0,0,1,15531,0,
7435,Camper Van 01 (VehicleInfo),Created- Spawned,Vehicle,6228,0,0,1,0,0,
7465,Sedan (VehicleInfo),Created- Spawned,Vehicle,140095,0,0,0,0,0,
7511,Hatchback (VehicleInfo),Created- Spawned,Vehicle,170042,0,0,2,0,0,
7548,Camper Trailer 02 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
7558,Sports-car (VehicleInfo),Created- Spawned,Vehicle,119848,0,0,1,0,0,
7567,Electric Car 01 (VehicleInfo),Created- Spawned,Vehicle,122108,0,0,1,0,0,
7573,Suv (VehicleInfo),Created- Spawned,Vehicle,43,0,0,0,0,0,
7579,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,63585,0,0,1,0,0,
7595,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,88622,0,0,0,0,0,
7599,Scooter (VehicleInfo),Created- Spawned,Vehicle,178915,0,0,2,0,0,
7613,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,9253,0,0,1,0,0,
7616,Suv (VehicleInfo),Created- Spawned,Vehicle,80459,0,0,1,11852,0,
7620,Suv (VehicleInfo),Created- Spawned,Vehicle,205970,0,0,2,0,0,
7626,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,66159,0,0,1,0,0,
7669,Sedan (VehicleInfo),Created- Spawned,Vehicle,116462,0,0,1,0,0,
7733,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,39811,0,0,0,0,0,
7829,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,121870,0,0,0,0,0,
7832,Hatchback (VehicleInfo),Created- Spawned,Vehicle,180850,0,0,1,0,0,
7870,Suv (VehicleInfo),Created- Spawned,Vehicle,255269,0,0,2,0,0,
7900,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
7912,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,115732,0,0,1,0,0,
7943,Camper Van 01 (VehicleInfo),Created- Spawned,Vehicle,121187,0,0,1,0,0,
7990,Sports-car (VehicleInfo),Created- Spawned,Vehicle,130888,0,0,2,0,0,
8034,Bugspray Van (VehicleInfo),Created- Spawned- TransferToTarget- Importing,Vehicle,41808,8616,26418,0,0,0,
8069,Hatchback (VehicleInfo),Created- Spawned,Vehicle,38607,0,0,0,0,0,
8079,Electric Car 03 (VehicleInfo),Created- Spawned,Vehicle,126804,0,0,2,0,0,
8147,Sports-car (VehicleInfo),Created- Spawned,Vehicle,192445,0,0,0,0,0,
8182,Suv (VehicleInfo),Created- Spawned,Vehicle,215046,0,0,1,3914,0,
8188,Suv (VehicleInfo),Created- Spawned,Vehicle,86139,0,0,0,0,0,
8190,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,166809,0,0,1,0,0,
8230,hotdog-van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Importing,Vehicle,116643,24075,0,0,0,0,
8254,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,225170,0,0,2,0,0,
8299,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,1208,0,0,1,0,0,
8396,Donut Van (VehicleInfo),Created- Spawned- TransferToTarget- Importing,Vehicle,70938,30157,23754,0,0,0,
8491,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,183068,0,0,1,0,0,
8498,Hatchback (VehicleInfo),Created- Spawned,Vehicle,103576,0,0,2,0,0,
8556,Sports-car (VehicleInfo),Created- Spawned,Vehicle,107510,0,0,0,0,0,
8566,Suv (VehicleInfo),Created- Spawned,Vehicle,179313,0,0,0,0,0,
8622,Hatchback (VehicleInfo),Created- Spawned,Vehicle,60155,0,0,2,0,0,
8640,Sedan (VehicleInfo),Created- Spawned,Vehicle,16805,0,0,2,0,0,
8659,Suv (VehicleInfo),Created- Spawned,Vehicle,215098,0,0,0,0,0,
8675,Bugspray Van (VehicleInfo),Created- Spawned- TransferToTarget- Importing,Vehicle,94708,8616,3050,0,0,0,
8697,Electric Car 02 (VehicleInfo),Created- Spawned,Vehicle,233992,0,0,1,0,0,
8730,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,129386,0,0,2,0,0,
8734,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,55885,0,0,3,0,0,
8745,Electric Car 03 (VehicleInfo),Created- Spawned,Vehicle,144006,0,0,0,0,0,
8758,Sports-car (VehicleInfo),Created- Spawned,Vehicle,175710,0,0,0,0,0,
8802,Sedan (VehicleInfo),Created- Spawned- Stopped,Vehicle,199328,0,0,2,0,6,
8809,Donut Van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Importing,Vehicle,226780,735,0,0,0,0,
8863,Electric Car 01 (VehicleInfo),Created- Spawned,Vehicle,185880,0,0,2,0,0,
8870,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,64158,0,0,0,0,0,
